gene	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819018	SRR6819019	SRR6819020	SRR6819021	SRR6819022	SRR6819023
FUN_017463	7.59883094095435	7.20362182547462	6.95668184189875	6.90918812358737	8.09982777734865	8.13325625081968	7.64661849411056	8.71220104486383	8.15923249063275	8.21910537487299
FUN_017308	8.08052476900722	7.7255486863127	8.25314869991399	8.11806534292274	8.06891519808611	8.30882247450934	7.98953407969322	8.19064610142516	8.19540323248217	8.10273737367783
FUN_017187	10.99508856819	10.8602711163756	11.0819680712778	11.0231164663513	10.8382482926357	10.7263601885314	11.1039022160205	10.9195373307917	10.9876165016218	11.0174019917665
FUN_017369	7.46989518035856	7.42314051381395	7.89634533467783	7.54562732599344	6.73350153458226	6.87367742601426	7.09313590340751	6.62316229288694	6.75561305790147	6.72184842237172
FUN_017408	8.383598331224	8.60213927427911	9.22257106075556	8.8409057467127	8.61511692554141	8.51273596586811	8.65107634200784	8.55340371114159	8.51813282491195	8.75718818327663
FUN_004564	8.54360821979717	7.63671636956312	7.83968652806437	7.2861122428394	6.95254522965567	6.59061525138758	7.61399405931347	5.87688282362362	5.81612976836235	5.92253011576641
FUN_004828	8.69289203803723	8.91075069694971	8.50293813559581	8.71456092841938	8.55503867952287	8.61988157211379	8.2611346440505	8.72023417124617	8.58782457850633	8.55551977843198
FUN_005888	8.0964959870724	8.0345689074457	8.13703236601012	8.43361674304056	8.53255651525654	8.43913205563373	7.78493356088146	8.58600629634617	8.50378118217049	8.24678772184743
FUN_005179	4.2539980373982	5.65830186920475	5.99814344089267	5.74272528799408	5.13617730914334	5.07470433784958	5.24657227442184	5.77773182493392	4.56565821131433	5.81157080408889
FUN_005257	8.87521590772025	8.88526913212706	9.02256470062484	9.05765322148999	9.24797766908068	8.90051792236219	8.8497922936191	9.45369098424682	9.44094940894563	9.14330068228414
FUN_005588	7.46989518035856	7.51738415743653	7.73705946862946	7.66886351234866	6.86528113884011	6.75736267897659	7.48462810075132	6.57672497862954	6.54748819586174	6.67733347474224
FUN_005776	7.46989518035856	7.46674310642662	7.55797899605979	7.75697813021849	7.51939901025214	7.1660239570889	7.36228677101779	7.57506605675338	7.69309310174175	7.6099652646094
FUN_006108	11.3317099912256	11.0909365935937	11.2341663095466	10.9752414278817	11.2595200550423	11.1680110530255	11.3171514701698	11.4064118512764	11.4664714016015	11.4094261175644
FUN_006287	9.32154655388952	9.33212861767392	9.15451640468994	9.3403426888109	9.34309355040004	9.27938753503025	9.35322695593675	9.24496043008626	9.22610196438251	9.18523498994871
FUN_008106	8.36393954167136	8.26936783440936	8.50814148807177	8.62373265975979	8.63371972473167	8.58958594595889	8.74069109333604	8.67686449131758	8.71474320973025	8.67353778647728
FUN_008330	7.93711816473105	7.81598603467083	7.86424183477897	8.16391473186995	8.31599414792463	8.70084379973939	9.32830470719597	8.62361016514971	8.72405892056907	8.88600201189925
FUN_008606	5.15597405627569	4.46369936030043	4.45763135401327	4.33802471283152	5.16569605184583	5.11307523456519	6.26994768216145	5.4572453479669	5.7200782526735	5.07525305467423
FUN_009014	4.9603971030874	4.97931682680173	4.36889258443371	5.87462947831367	5.61412422288168	6.07274130224775	6.63766126076928	6.33309971630173	6.25362866291291	6.30844356425473
FUN_008733	8.42845315558327	8.30343548099134	8.54404877108721	8.70129590394898	8.7958856512983	8.68819129849291	8.90139722191942	8.76492918587209	8.75771093386887	8.78682382900474
FUN_009087	5.66449191416409	5.95626604341278	5.99814344089267	5.20498342092823	5.97252197622597	6.16694435211369	5.68386180298014	6.44073207636083	6.05140006129191	5.99686708367406
FUN_009167	9.32832513356385	8.76468130473634	9.02619629017773	9.03668244471793	9.75838312270214	9.7892496280063	10.2255687538588	9.94904982285387	9.85546788868754	9.74045330903908
FUN_009451	7.84558289906989	7.9387329973052	7.45396561142503	7.90317394136492	7.92960434793738	7.61688346793059	7.48462810075132	7.66659438238608	7.482356663801	7.74118549852636
FUN_030314	9.12922355531231	8.79920136274956	9.25697746448225	8.88067600340744	9.04255490416477	8.96224968069015	8.94467538437766	9.34186040958111	9.11482624060189	8.89769077363407
FUN_010678	4.2539980373982	3.87699468856577	3.81842652146717	4.51018017239265	4.55680424010018	4.77305673781859	0	4.90122656233737	3.67740912272717	3.97756676473137
FUN_011766	5.02857812490693	4.87960715679094	5.18551781971723	4.92966826938561	4.64328228329579	4.72431387918907	4.06020590377004	4.35861915852364	4.25888079470402	4.59047378147027
